Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9901668686781101,0.011405055241291215,0.3798183641390886,0.37230178293353783,23.834608514035608,0.7602422859388239
2,1.0014829129944305,0.0058169237513117445,0.7331709619339355,0.7352752440418312,25.19500894714707,0.8075205661970026
3,1.0000058154717177,0.005149457093417466,0.9999640002507649,0.9999693840849185,24.33955735282352,0.8031222342042362
4,1.0000013356294462,0.004618367555322583,0.9999902895396341,0.999991626282652,25.221324427375286,0.8164752488977769
5,1.0000008061688817,0.004412486652012714,0.999994768953609,0.9999956004633875,25.619059770894662,0.8185913156060611
6,1.000000386766331,0.004208593710219699,0.9999967631180129,0.999997141118535,24.6212177784734,0.8253771888508517
7,1.0000003441936243,0.004034293452668154,0.9999973600353309,0.9999976934215979,25.897093343842563,0.8269426739917082
8,1.0000001201515427,0.0037938027512170597,0.9999979881326595,0.9999981158222268,26.019574293664167,0.8333290694741642
9,1.0000001450784193,0.0036619638478171505,0.999998282815168,0.9999984194133096,25.726102076085134,0.8357866846813875
10,1.0000000779071967,0.003486538068028892,0.9999985555974309,0.9999986275655781,26.67653307038993,0.8407017437149497
11,1.000000078321217,0.003555311535591048,0.9999987989699769,0.9999988743502223,23.150512245147024,0.826951511186712
12,1.0000002717686272,0.010086974276084742,0.9999989728584975,0.9999992156314279,22.468295546130634,0.7583894126555499
13,1.0000001324864918,0.004951932979803421,0.9999994463406637,0.9999995847519286,24.544536324242955,0.8057467605085934
14,1.0000000878865134,0.004217064957675373,0.9999995573980366,0.9999996505526012,25.9816332835106,0.8215152746088364
15,1.0000000413449224,0.003920532768023407,0.9999997039754948,0.9999997521731668,25.889934032721097,0.8239842574736651
16,1.000000035405873,0.0037243184433346558,0.999999691169419,0.9999997384533911,25.973529337779922,0.830462235843434
17,1.0000000187308489,0.003603086889091277,0.9999997594827663,0.999999790334416,25.70716484815957,0.8363382274964276
18,1.0000000267257234,0.0036538284609350796,0.9999998015415169,0.9999998339493118,25.76772072413517,0.8289254778974197
19,1.0000000217003737,0.0035274892685165306,0.999999821371661,0.9999998519806091,26.574972307964156,0.8374678457484526
20,1.0000000091369994,0.0033513219916668836,0.9999998467268344,0.9999998679703581,26.638361142271478,0.8403056803871604
21,1.0000000040830965,0.0032741942261708176,0.9999998887998616,0.9999999013346826,26.392158609739525,0.8344430415770587
22,1.0000000034263747,0.0033243139462355905,0.9999998896707318,0.999999902234106,26.38711403853414,0.8340563144403346
23,1.0000000036547998,0.0033104349852924398,0.9999999189234066,0.9999999365121305,26.72372853878815,0.8429922165590175
24,1.0000000031693967,0.003363334066875859,0.9999999174529207,0.9999999311441433,26.471469677612788,0.8387443877668942
25,1.0000000068527495,0.00503880629962879,0.9999999403810786,0.9999999556855528,25.217651814615223,0.8246661585919998
26,1.0000000045684998,0.0037216482859684856,0.9999999493039297,0.9999999648368287,26.57901567097168,0.8352660080965828
27,1.0000000011421248,0.004860692042690105,0.9999999748732515,0.9999999798986012,25.962438689846167,0.8229393517269807
28,1.00000000228425,0.00358666517810818,0.9999999698479018,0.9999999769290764,26.433076155353675,0.8367238894630881
29,0.9999999990863001,0.003406124882243886,0.9999999703047519,0.9999999762438014,26.616459582787044,0.8415068453900955
30,0.999999998857875,0.0032470140036217825,0.9999999794417512,0.9999999810407262,26.514549787941416,0.8425783210642197
31,0.999999999771575,0.0032669129388819555,0.9999999810407262,0.999999983553401,26.72913795701278,0.8420554982914644
32,0.9999999986294501,0.0032181438541006363,0.999999983324976,0.9999999851523759,26.62963761327529,0.8404014079711016
33,0.999999999314725,0.0032570079537275845,0.9999999817260011,0.9999999844671009,26.629895640614084,0.8415970878040089
34,1.0,0.003190537795234851,0.9999999890356007,0.9999999913198505,26.690501654494696,0.8423020709262174
35,0.999999999771575,0.003185931459504241,0.999999984695526,0.9999999858376508,25.376906120373576,0.8239732736699721
36,0.99999999954315,0.003559621371507288,0.9999999942893754,0.9999999961167753,26.52881695368963,0.8422258260670831
37,0.999999999771575,0.0031812974564106524,0.999999993618377,0.9999999952173518,26.765719383411444,0.8416755773039425
38,1.00000000045685,0.0031968088794365793,0.9999999890356007,0.9999999904061506,26.600314941221153,0.8409730468076818
39,0.999999999314725,0.003143692578295034,0.9999999956599253,0.9999999961167753,26.80005874126575,0.8451008352111368
40,0.99999999954315,0.003175996252820788,0.9999999958883502,0.9999999968020502,26.751983185394526,0.8440075030046351
41,0.999999999771575,0.0031719264315028567,0.9999999963452002,0.9999999968020502,26.543824090099864,0.8450009027649374
42,0.999999999771575,0.00321035296154281,0.9999999970304752,0.9999999972589002,26.18339195441616,0.8327276222846087
43,1.00000000045685,0.0032662200201637372,0.9999999970304752,0.9999999981726001,21.72307929181809,0.762051103255328
44,1.0,0.003939891634620503,0.9999999986294501,0.9999999986294501,26.534121556924617,0.8391724443435669
45,0.999999999771575,0.0032297609617632484,0.999999999314725,0.999999999314725,26.82417530423615,0.8466757723864387
46,0.999999999771575,0.00308942371973779,0.999999999314725,0.9999999990863001,26.89421080253225,0.8471396833307603
47,0.999999999771575,0.0030490899350337996,0.9999999981726001,0.9999999981726001,26.899242146852625,0.8495601452098174
48,0.999999999771575,0.0030448481939666107,0.9999999965736253,0.9999999970304752,26.66949080309219,0.8484742666693295
49,0.999999999771575,0.0030182450465456455,0.999999998401025,0.9999999981726001,26.92734719514,0.847806346837212
50,0.999999999771575,0.0031607886273302362,0.9999999990863001,0.9999999990863001,26.726292001520537,0.8451712821511661
